District,Year,Total_Households,Urban_Households,Rural_Households
Hambol,2045,110381,44152,66229
Hambol,2050,113140,45256,67884
Haut-Sassandra,2025,170000,102000,68000
Haut-Sassandra,2030,174249,104549,69700
Haut-Sassandra,2035,178606,107163,71443
Haut-Sassandra,2040,183071,109842,73229
Haut-Sassandra,2045,187648,112588,75060
Haut-Sassandra,2050,192339,115403,76936
Iffou,2025,86396,67632,18764
Iffou,2030,128976,100964,28012
Iffou,2035,147921,115794,32127
Iffou,2040,158307,123925,34382
Iffou,2045,177175,138695,38480
Iffou,2050,165494,129551,35943
Kabadougou,2025,117194,91741,25453
Kabadougou,2030,122354,95780,26574
Kabadougou,2035,134432,105235,29197
Kabadougou,2040,130696,102310,28386
Kabadougou,2045,145384,113808,31576
Kabadougou,2050,164866,129059,35807
Moronou,2025,91394,71544,19850
Moronou,2030,100267,78490,21777
Moronou,2035,117445,91937,25508
Moronou,2040,177184,138702,38482
Moronou,2045,170103,133159,36944
Moronou,2050,203554,159345,44209
N'Zi,2025,85311,66782,18529
N'Zi,2030,141382,110676,30706
N'Zi,2035,166863,130622,36241
N'Zi,2040,156108,122203,33905
N'Zi,2045,179584,140580,39004
N'Zi,2050,217386,170173,47213
Nawa,2025,105063,82244,22819
Nawa,2030,118558,92808,25750
Nawa,2035,165541,129587,35954
Nawa,2040,186528,146016,40512
Nawa,2045,195600,153118,42482
Nawa,2050,199018,155794,43224
Poro,2025,90627,70944,19683
Poro,2030,106550,83408,23142
Poro,2035,123806,96917,26889
Poro,2040,145625,113997,31628
Poro,2045,187014,146397,40617
Poro,2050,165224,129339,35885
San Pedro,2025,150000,120000,30000
San Pedro,2030,153750,123000,30750
San Pedro,2035,157593,126074,31519
San Pedro,2040,161533,129226,32307
San Pedro,2045,165571,132456,33115
San Pedro,2050,169711,135768,33943
San-Pédro,2025,97832,76584,21248
San-Pédro,2030,138603,108500,30103
San-Pédro,2035,132764,103929,28835
San-Pédro,2040,162728,127385,35343
San-Pédro,2045,162300,127050,35250
San-Pédro,2050,223242,174756,48486
Sud-Comoé,2025,120000,72000,48000
Sud-Comoé,2030,122999,73799,49200
Sud-Comoé,2035,126074,75644,50430
Sud-Comoé,2040,129226,77535,51691
Sud-Comoé,2045,132457,79474,52983
Sud-Comoé,2050,135768,81460,54308
Tchologo,2025,83943,65711,18232
Tchologo,2030,124726,97637,27089
Tchologo,2035,139239,108998,30241
Tchologo,2040,129633,101478,28155
Tchologo,2045,164975,129144,35831
Tchologo,2050,186834,146256,40578
Yamoussoukro,2025,200000,180000,20000
Yamoussoukro,2030,204999,184499,20500
Yamoussoukro,2035,210124,189111,21013
Yamoussoukro,2040,215378,193840,21538
Yamoussoukro,2045,220762,198685,22077
Yamoussoukro,2050,226281,203652,22629
